S No.,Language,Artist,Gender,Location,Local_Song_Index,Song  Name,Source,location_id,artist_id,gender_id,Emotion
1,Hindi,Kishore Kumar,Male,Northern India,1,Aise Na Mujhe Tum Dekho,https://www.youtube.com/watch?v=EU0NH3EZE6A,12,28,1,sad
2,Hindi,Kishore Kumar,Male,Northern India,2,Zindagi Ek Safar Hai,https://www.youtube.com/watch?v=jBspOUwBHRg&t=9s,12,28,1,fear
3,Hindi,Kishore Kumar,Male,Northern India,3,Neele Neele Ambar,https://www.youtube.com/watch?v=eVnG_Rqfgg4,12,28,1,netural
4,Hindi,Kishore Kumar,Male,Northern India,4,Manzilein Apni Jaga Hein,https://youtu.be/0-CZJ-aZGcY?t=7,12,28,1,angry
5,Hindi,Kishore Kumar,Male,Northern India,5,O Mere Dil Chain,https://youtu.be/5eyflIV8pzM?t=5,12,28,1,happy
6,Hindi,Sonu Nigam,Male,Northern India,1,Pyar Tera,https://www.youtube.com/watch?v=g7sOkFE3GgM,12,57,1,sad
7,Hindi,Sonu Nigam,Male,Northern India,2,Apnaa Mujhe Tu Lagaa,https://www.youtube.com/watch?v=KIzCpTA2p5Y,12,57,1,fear
8,Hindi,Sonu Nigam,Male,Northern India,3,Sab Kuch Bhula Diya,https://www.youtube.com/watch?v=xKx_80QM2LU,12,57,1,netural
9,Hindi,Sonu Nigam,Male,Northern India,4,Tu Hai,https://www.youtube.com/watch?v=kkHH1z3gnXE,12,57,1,angry
10,Hindi,Sonu Nigam,Male,Northern India,5,Sau Dard,https://www.youtube.com/watch?v=xo8JU-Vc1C0,12,57,1,happy
11,Hindi,Lata Mangeshkar,Female,Northern India,1,Naina Yeh Barse,https://youtu.be/BaxBHVp9Kiw?t=6,12,30,0,sad
12,Hindi,Lata Mangeshkar,Female,Northern India,2,Mere Ghar Aayi Ek,https://www.youtube.com/watch?v=COV1a8T5PDg,12,30,0,fear
13,Hindi,Lata Mangeshkar,Female,Northern India,3,Humein aur jeene ki,https://youtu.be/foaU-2n6WUs?t=6,12,30,0,netural
14,Hindi,Lata Mangeshkar,Female,Northern India,4,Wada na tod,https://www.youtube.com/watch?v=Oq6q4HPBc5Q,12,30,0,angry
15,Hindi,Lata Mangeshkar,Female,Northern India,5,Mere Khwabon Mein,https://www.youtube.com/watch?v=Zxgvob1Ew0c,12,30,0,happy
16,Hindi,Alka Yagnik,Female,Northern India,1,Tune Zindagi Mein Aake,https://www.youtube.com/watch?v=a2SByvJ9HwY,12,1,0,sad
17,Hindi,Alka Yagnik,Female,Northern India,2,Aankh Hai Bhari Bhari,https://www.youtube.com/watch?v=OgocnLh9P1M&t=20s,12,1,0,fear
18,Hindi,Alka Yagnik,Female,Northern India,3,Too Shayar Hai Main Teri Shayari,https://youtu.be/8HvgZ8XViHA?t=14,12,1,0,netural
19,Hindi,Alka Yagnik,Female,Northern India,4,Der Se Hua,https://www.youtube.com/watch?v=HB0Hlx9heF0,12,1,0,angry
20,Hindi,Alka Yagnik,Female,Northern India,5,Dil Cheer Ke Dekh Tera Hi Naam Hoga,https://www.youtube.com/watch?v=HB0Hlx9heF0,12,1,0,happy
21,Gujarati,Atul Purohit,Male,Gujarat,1,Tara Naam Ni Chundadi Odhi  Rangbhini,https://www.youtube.com/watch?v=rLesB-0BtJc,3,7,1,sad
22,Gujarati,Atul Purohit,Male,Gujarat,2,Tadakaa lyo ,https://youtu.be/nTtCwUiYVJE?list=RDrLesB-0BtJc,3,7,1,fear
23,Gujarati,Atul Purohit,Male,Gujarat,3, Aaj No Chandaliyo,https://youtu.be/jETTHxbYAEg?list=RDrLesB-0BtJc,3,7,1,netural
24,Gujarati,Atul Purohit,Male,Gujarat,4, Ae Morlo Ambe Bole Jay Jagadambe Bole,https://www.youtube.com/watch?v=iCr50bPNAQg&list=RDrLesB-0BtJc&index=14,3,7,1,angry
25,Gujarati,Atul Purohit,Male,Gujarat,5,Gori Radha Ne Kado Kaan,https://youtu.be/lc9Agd7Lp6E,3,7,1,happy
26,Gujarati,Devang Patel,Male,Gujarat,1,Dikro Maro Darudiyoby,https://www.youtube.com/watch?v=EGq589AIKUs,3,13,1,sad
27,Gujarati,Devang Patel,Male,Gujarat,2,anand ma raho,https://www.youtube.com/watch?v=i-ksI7SlR9w,3,13,1,fear
28,Gujarati,Devang Patel,Male,Gujarat,3,Ubho Tha,https://www.youtube.com/watch?v=MYuTM0PjJq8,3,13,1,netural
29,Gujarati,Devang Patel,Male,Gujarat,4,Rangai jaane ranga ma,https://www.youtube.com/watch?v=7LJebJZIkqc,3,13,1,angry
30,Gujarati,Devang Patel,Male,Gujarat,5,Jalsa Kar Bapu Jalsa Kar,https://youtu.be/VE0f8ahiwv4,3,13,1,happy
31,Gujarati,Falguni Pathak,Female,Gujarat,1,Indhana Vinvaa Gayi Thi More Saiyan,https://www.youtube.com/watch?v=Q_ZXz9Omq4k,3,15,0,sad
